text,sentiment
"Ef they do, I'll kill them meself whin they comes over th' side.""",anger
"if you give me any insolence, I will blow a ball through your cowardly heart!”",anger
"He--why, Wilkins, I'll smash your face into so many nasty little pieces that----""",anger
"Now I'm going to eat you all up for taking my things!""",anger
"shouted Tosa; ""I will tear off your flesh with pincers, and pour boiling pitch into your wounds.""",anger
"Hasten, you dogs, or I'll strip the flesh from you with whips!""",anger
"He shall kneel to me, and then I will trample him under my feet!""",anger
"Run along, now, run along, and git him his breakfas', or I'll strangle ye with me foot!'",anger
"You robbed me of my son and I've got even with yer.""",anger
"He tore her bowels out one and two, ""Little maid, I will eat you!""",anger
"If so I take de pelts off 'em all alife, de scoundrels!""",anger
"Ivan answered: ""Leave me, cursed reptile, or I'll crush thee under the horse.""",anger
"I'd have taught you to propose such a schame to a man with blue blood in his veins, you scounthrel!""",anger
"Tell me whar that d----d gal is, or I'll cut every mother's child of you to death.""",anger
"Stand where you be, or I'll take you fust and git him next!""",anger
and am going to throw up my commission the moment I leave this house!”,anger
"I will break thee, restrain thee, and swallow thee up in my bosom!",anger
"If you hit me with that I'll kill you in your tracks!""",anger
"Now if thou dost not carry me back, and that speedily, I swear I will prick thy skin till it is as full of holes as a slashed doublet.""",anger
"You have already spotted my face with mud, and if you do not loose me at once I shall kill all your tribe.""",anger
"And Balac was wroth with Balam and smote his hands together, and said unto him: I sent for thee to curse mine enemies: and behold, thou hast blessed them this three times, and now get thee quickly unto thy place.",anger
"If you do not, I will; for they will convey the man away, and by Heaven, if they do, I will burn the place about their ears!""",anger
"By all that's holy, I'll smash you if you so much as look at me again.""",anger
"Oh, Banty, get out of this, get out of this, or, I tell you, _honest_, I'll lick you if you don't.""",anger
"I'd wring his coward neck off for him,” he finished with a savage oath.",anger
"Now tell me that, and I fain would thwack thee if thou wert not thrice my size.'",anger
"I tell you that I will see the little one in bed, and I will light my pipe, or I'll smash everything, and you along with it!""",anger
"cried she, ""I'll be whipped if you've spoke one word to 'Melia this livelong day!",anger
"Thereat, Rāma with his eyes reddened through wrath replied unto that Rākshasa of a deformed shape, the wicked Virādha—saying, “Little!",anger
"If you yap again I'll KILL YOU, anyhow, an' take a chance!""",anger
"Incensed with wrath, Agni cursed all the elephants, O descendant of Bhrigu saying, ""Your tongues will be bent back.""",anger
"shouted the prophet, ""let us set fire to the house of Baal and burn it and its priest.""",anger
"I will kiss again thy hair, Then tell thee of thy leman there, And smite thee dead--and die.",anger
"You shall not exist For another day more; I will shoot you, sir, Or stap you with my claymore!""",anger
"Down on your knees, and swear you will marry her, or I will not answer for your life!""",anger
"My word, if she tries the Steiner trick on again I’ll tear her eyes out!”",anger
"You remain in here, or I will take your life as mercilessly as I would grind a rat with my heel.""",anger
and I’ll break the jaw of the first man that refuses to obey!”,anger
"I'll set twenty fiends to torture him till he offer thee his daughter on his bended knees!""",anger
I would have stabbed you if you had tried to prevent me!”,anger
"Upon being informed, he said, 'If I had known who he was, I should have thrown it in his face.'",anger
"A vengeance on thee, and may what thou hast eaten choke thee, thou wretched miser!",anger
"When thou wast stolen from me, I shot it through and through.'",anger
"Now if you tell me that your ’Moth’ was placed there, I shall want to murder you.""",anger
"cried Graemagog, laughing horribly, and brandishing his club; ""for all knights who come hither I have sworn to slay.""",anger
"They ought to inject fire into your veins, they ought to take your skin off and strew salt upon your raw flesh, then you would have jumped!”",anger
"Thus addressed, the ten-necked one, flaming up in energy, with his eyes reddened in wrath, said this unto Akampana, ""Who, having his days numbered, hath ravaged the dreadful Janasthāna?",anger
"roared Godby in reply, ""Cap'n Adam is ashore wi' ye this moment--look astarn o' you, ye rogue!""",anger
"Wrath upon wrath, meseems, this day shall fall From God on Jason!",anger
"I've got to punch some of you wooden heads, or you'll never be satisfied; neither will I.""",anger
"he shouted, seizing a riding whip, 'I'll teach you to defy my authority to my face!'",anger
"no more will I throw thee into the water; I will throw myself in thy place.""",anger
I'll break ivery bone in ye'er body if ye even make a move ter git up.,anger
"Cursed be their anger, for it was fierce; and their wrath, for it was cruel: I will divide them in Jacob, and scatter them in Israel.""",anger
"cried Henry, directing his passionate defiance to the individual who wrestled with Alfred, ""loose your hands, I say, or I will fire upon you!""",anger
